ID,cluster
20180706182539,3
20111009111717,2
20100112090869,2
20040807042082,6
20170706170743,3
20161009162434,3
20120302122218,1
20100807101741,6
20150706151943,1
20160212151190,5
20160605161709,1
20090504091861,2
20110504110694,4
20181009180679,5
20160706161057,6
20090112081215,5
20130909132030,3
20100302101359,2
20070201072138,2
20081211082173,3
20110504110818,2
20140504142350,4
20130706132284,1
20060806061628,1
20080112071105,4
20141008142468,2
20170908172103,2
20030503030938,5
20140403141154,3
20091109091264,4
20061211061960,5
20101110101299,2
20160201162185,1
20160705162449,4
20030807033276,6
20051009051578,1
20180605180613,4
20031009032810,3
20050302050114,2
20050404051974,1
20121211120093,2
20160402162192,1
20060504061167,3
20060301060827,2
20080402081552,1
20180707182357,2
20100604101555,3
20030504033542,1
20100302102343,5
20090807091339,3
20110201111264,2
20070808072162,2
20170505170950,2
20060112052510,1
20180403182124,3
20041212041951,6
20150303152110,2
20160112150812,3
20090807091735,1
20130504131164,6
20160706162035,3
20181109181227,2
20160604160993,4
20060807061852,1
20071009070101,3
20091110091642,2
20060112051234,4
20160504160810,3
20110505111456,1
20110807111664,5
20180201181975,2
20130706131959,2
20090504090750,2
20180403180660,6
20080504080071,5
20090706092440,6
20070504070775,3
20150201151991,3
20130706131876,1
20160402161827,6
20150908152071,6
20180301181990,2
20141211142392,6
20150806151093,2
20141109142273,3
20040706040104,6
20071110070136,3
20140908141809,3
20170908170747,4
20111009112495,2
20120403121486,5
20180112171442,4
20060201061559,3
20160302161449,1
20090908091565,2
20140404140940,1
20070112060543,1
20160706161982,1
20181010181494,4
20050112040987,3
20101109102053,2
20121010120923,2
20100909102309,1
20100605101615,3
20051211050998,3
20061009061955,3
20141009141606,2
20031212031676,5
20160302161172,5
20040605042169,3
20131211132286,2
20100504100522,3
20150706151169,2
20140909140075,2
20040605041343,3
20110604111216,5
20160201161944,4
20180908181109,5
20150706151321,2
20180302182352,6
20110404110784,4
20040202040529,4
20030504032781,4
20080402080548,2
20110212102222,1
20050706050959,6
20081009081810,2
20120605120890,2
20160504162196,2
20090605090936,4
20120605122371,1
20031212033458,4
20140201140858,6
20180212170787,4
20110706112405,3
20150908151904,4
20050706050540,2
20070908071281,2
20150202152139,3
20061009061728,2
20071110071328,2
20130909132519,3
20150201150013,3
20141211140554,3
20131108132482,2
20181009180166,2
20140112130626,3
20050908050159,1
20150302152335,3
20181110180052,1
20130112121338,2
20040201041469,3
20070201072230,3
20090605091404,2
20040403041228,3
20040807042406,2
20130605130610,1
20070201072152,2
20030302032837,1
20080112070104,3
20140706142535,1
20060908061633,4
20030604033265,1
20070706071608,3
20070909071971,1
20041010042443,4
20050909051133,2
20121008121607,3
20120705120067,3
20060403061827,3
20141110140813,2
20121110121596,1
20100403101319,2
20160706161054,1
20100807102207,2
20131110132132,6
20131109131275,5
20070707071596,5
20160807161233,2
20030504030767,2
20170302170758,6
20130504132035,1
20100605101731,3
20170908171059,4
20110302111952,3
20110808112487,1
20150504150955,2
20161008161432,1
20091008092464,1
20070606072035,3
20110201112123,3
20141211141323,2
20050101052020,3
20121110122153,2
20141211141768,3
20080605081096,1
20030807032302,3
20181110181624,6
20170907171106,4
20150201152072,5
20070606072680,4
20050807052064,3
20090302092471,2
20040504041264,3
20030808032601,1
20080806081271,3
20080201081399,1
20040908040615,3
20120706120520,3
20150605152159,2
20150605152148,2
20040504041831,2
20120706122241,3
20051010052055,3
20160403161982,2
20161211161908,6
20101211101952,4
20120605122003,3
20151110152304,2
20170302170042,2
20101010101599,5
20101211100946,2
20091111092515,4
20050403051799,3
20060706062061,4
20121009121715,2
20071009072045,4
20120605122001,4
20130605131875,3
20070101070044,4
20101009101454,3
20110504111807,2
20030112020846,3
20041008040702,2
20071110070965,2
20030303031965,2
20091009091959,6
20100302100637,3
20100201100042,2
20060112051839,1
20061110062317,6
20170908170557,4
20091211090585,5
20050909051271,2
20120706121674,1
20070112061769,6
20161110160626,2
20160707161955,2
20030403033264,3
20080303081360,2
20070707070767,3
20030705032814,4
20100504101204,3
20050706050756,5
20081211081256,5
20080112070148,3
20170302172020,6
20070201072273,6
20161211160601,2
20181111181367,3
20110605111717,3
20140201141764,5
20181008181929,4
20060503061595,1
20041211041665,3
20060101060848,3
20151109150536,1
20140807142430,3
20090112082195,2
20181109181622,2
20030907031841,2
20040503042449,2
20090908091539,3
20070112061246,2
20140504141129,3
20080503082104,1
20161010162276,1
20180504182341,3
20180404181087,3
20140302140127,3
20170111161933,1
20180705181092,2
20140112131330,2
20090807091851,6
20060705061147,1
20030403030962,3
20180908180063,3
20040808040734,6
20160201161030,3
20061009061370,3
20090403090093,4
20090504091328,2
20120605120842,6
20121212120621,2
20090504091244,4
20130504130515,3
20141009141970,1
20060908061779,4
20110301110777,4
20161110161500,1
20130504131832,5
20051110051678,4
20101009101235,2
20130504130528,3
20060909060071,2
20160403161867,1
